UID,score
Te-1,9.494928125
Te-2,7.7410218749999995
Te-3,7.6628968749999995
Te-4,8.186334375
Te-5,8.135553125
Te-6,8.1570375
Te-7,8.170709375
Te-8,6.8699281249999995
Te-9,9.0271546875
Te-10,8.356988671875
Te-11,7.3972718749999995
Te-12,7.6687562499999995
Te-13,7.4304749999999995
Te-14,8.23125625
Te-15,9.22735
Te-16,8.8289125
Te-17,7.0613343749999995
Te-18,8.2820375
Te-19,7.6960999999999995
Te-20,8.91875625
Te-21,8.397271875
Te-22,8.23906875
Te-23,7.1521546874999995
Te-24,8.412896875
Te-25,7.5320374999999995
Te-26,7.6179749999999995
Te-27,8.742975
Te-28,8.3132875
Te-29,9.1414125
Te-30,8.866021875
Te-31,8.1961
Te-32,7.5691468749999995
Te-33,7.5574281249999995
Te-34,7.5925843749999995
Te-35,9.0466859375
Te-36,7.0671937499999995
Te-37,9.037896875
Te-38,9.305475
Te-39,8.397271875
Te-40,8.397271875
Te-41,8.127740625
Te-42,7.6492249999999995
Te-43,9.73906875
Te-44,8.397271875
Te-45,9.662896875
Te-46,8.397271875
Te-47,9.4461
Te-48,9.4382875
Te-49,9.580865625
Te-50,7.6511781249999995
Te-51,9.127740625
Te-52,7.4832093749999995
Te-53,7.8308656249999995
Te-54,8.80938125
Te-55,8.307428125
Te-56,8.252740625
Te-57,8.1961
Te-58,8.29375625
Te-59,8.112115625
Te-60,8.397271875
Te-61,7.4363343749999995
Te-62,8.6961
Te-63,7.5784242187499995
Te-64,6.8953187499999995
Te-65,7.5398499999999995
Te-66,8.545709375
Te-67,7.5789124999999995
Te-68,8.838678125
Te-69,8.397271875
Te-70,7.3484437499999995
Te-71,10.0007875
Te-72,8.119928125
Te-73,7.7683656249999995
Te-74,7.2996156249999995
Te-75,7.7996156249999995
Te-76,7.4753968749999995
Te-77,9.0007875
Te-78,8.455865625
Te-79,7.4773499999999995
Te-80,7.8269593749999995
Te-81,8.397271875
Te-82,7.6023499999999995
Te-83,8.190240625
Te-84,9.627740625
Te-85,9.4158265625
Te-86,7.8210999999999995
Te-87,7.6746156249999995
